label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
0	N/A	0.6619	inan	cOMPUTER eNGINEERING	1.746	627	917	TRACK & FIELD	719	598
2	462 m^2	1.6901	Reilly	Computational Media, Technology and Information Management	0.0202	1583	1450	soccer	-700	188
0	219 m^2	0.0402	Inan		1.0932	821	-378	running	165	2474
4	-270 m^2	0.1565	Chris	Robotics Engineering	1.47	1156	-365	golf	556	-166
0	1689 m^2	1.1272	Fabrice	Biotechnology, Computer Engineering	1.6285	1578	-36	running	-1168	315
4	1681 m^2	0.5255	Andrew	Robotics Engineering	-0.7793	1844	-706	golf	1755	340
0	-68 m^2	0.3579	Inan	Electrical Engineering, Biotechnology	0.0526	-551	471	running	1389	1732
0	334 m^2	-0.8683	Fabrice	Electrical Engineering, Biotechnology	0.6907	-293	-463	track & field	1984	368
2	1324 m^2	1.753	Fabrice	Natural Language Processing, Bioengineering, Applied Mathematics, Games and Playable Media	-0.1887	-569	1009	soccer	664	731
0	1153 m^2	0.4331	Inan	Bioinformatics, Computer Engineering, Electrical Engineering	1.7156	686	737	running	-72	2936
2	-372 m^2	0.9965	Reilly	Computational Media	-1.3875	-1066	491	soccer	399	-623
0	2275 m^2	-0.3718	Fabrice	Electrical Engineering, Bioinformatics	-1.2153	806	952	running	939	-958
1	1646 m^2	0.6264	Tony	Statistics	0.8524	120	-241	football	961	
1	538 m^2	1.5985	Tony	Computer Game Design	-1.0889	-1059	2100	football	None	41
1	-1137 m^2	0.9752	Vani	Statistics	-0.2967	-349	1530	football	-234	1008
4	154 m^2	0.9704	Chris	Robotics Engineering	-0.1418	867	-456	golf	2020	520
4	201 m^2	-0.5628	Chris	Computer Science	0.283	680	None	baseball	1427	2275
1	410 m^2	0.6141	Eriq	Statistics	-1.0776	89	1390	football	304	1140
1	2915 m^2	1.6124	Tony	Statistics	1.3342	236	1442	football	-542	-53
2	96 m^2	-0.4215	Reilly	Data Science	0.0981	1275	24	soccer	1666	1144
